,SL32229,SL32232,SL32242,SL32243,SL32244,SL32249,SL32257,SL32259,SL5885,SL5886,SL5887,SL5999,SL6000,SL6128,SL6129,SL6131,SL6340,SL6342,SL6411,SL6412,SL6413,SL6609,SL6611,SL6642,SL6643,SL6644,SL7141,SL7142,SL7152,SL7153,SL7381,SL7382,SL7383,SL7393,SL7395,SL7614,SL7616,SL7617,SL7618,SL7625,SL7632,SL7697,SL7701,SL7804,SL7807,SL7847,SL8435
ENSG00000000003,1.29889575141845,0.657288125726967,0.606887539899739,1.01901394850122,0.734956507304439,0.816688888090738,1.14530997870248,0.916964124429711,1.1696470535691,0.931795916375969,1.23751077728666,1.23567824417909,1.27571262036136,1.1354863765889,0.836030404232779,0.883256487738681,1.22289372100184,1.53101790892842,1.34503021798386,1.68486294367791,1.21429458011657,1.61480849521243,1.13344594314272,1.38794502463964,0.733096358227032,1.47831367075983,1.50161025909876,1.17909909303609,0.944463022383324,0.697361647007557,1.07491685060638,1.55547443237899,0.863400947471926,1.48642343558186,1.17870723851533,1.30059642433888,1.75243029504397,1.2206411478934,1.53741202985472,1.41065684030136,0.953836698790358,1.25631244914363,0.499133251103258,0.860974366876115,0.60307844265151,0.762239995881023,1.20970197413504
ENSG00000000005,0.0546073257873612,0.0374026181086868,0.049311424870616,0.0390520831237843,0,0.0691857116236211,0.162933080915232,0.0596048586376791,0.0326200688022622,0,0.0400664765831015,0,0.0386385943587708,0.0223664627452141,0.0461746179904476,0.0825869059435565,0,0.0440053632715831,0.0854580680692586,0.0873473320456424,0.0137365010871527,0.045485444259555,0.0292904288116259,0.039791574205369,0.0433815959152303,0.0263548726192933,0.072097005840763,0.0666917906023931,0.0977266022526945,0,0.0672843052795024,0.0665290630089477,0.0331636642867181,0.01068090106535,0.0263503762529184,0.0973682719609883,0.0519599306180086,0.0354460370474264,0.115867193841021,0.0095516733916129,0.0451552735426095,0.0756141763134572,0.0147994069549086,0.0336828739974394,0.0647136524678994,0.0370181878487946,0.0458401675573275
ENSG00000000419,8.64367159577021,8.10725763271349,7.87117107455602,6.98019586837219,7.47602565177612,9.66694059738578,10.3016364017937,9.32871181638925,4.78625864530292,6.25586671198592,7.48217383747396,7.0344716895787,4.71586124934741,6.05636372743854,6.65189940031403,7.33950927892959,7.16113499541412,8.42318069879884,7.80840351037132,22.2148315458362,8.63009622154,6.93181966090571,7.11075513701957,6.84698595419478,6.3305501366472,7.96246861948185,8.11026605609445,8.29099963833496,6.11225334645362,7.55747295725057,8.10310407243453,7.04866327886018,7.53495670956251,8.23482428615861,9.8591231712504,8.24726204136839,9.10253034748068,9.81867951938141,8.21065942271321,8.30702783151938,7.46876454850585,8.16971394617892,10.0875062931838,8.29690765901026,6.45246585781319,7.45608255834338,9.92595972843793
ENSG00000000457,0.915411197699408,0.918627428631919,0.853546877681998,0.77187863556229,0.948796540446389,1.12877850516542,0.941356941559789,0.85047118506559,1.18267298701213,1.15741293061779,1.04965669874544,1.35075040325542,0.876680122186436,1.23468853474815,1.17727498345833,1.0721419410993,1.14326212564063,1.61604470058958,1.00613641959986,0.824065754070976,1.28845306797569,1.10384641805977,1.11676409022737,1.07270464517532,0.986324670632896,1.06648593210108,0.952826403647393,0.95471095621604,0.779752493186745,0.868930500396656,1.16689343617815,0.918145531776834,0.915361461744982,0.984356063023993,1.0724675873155,1.04766732840779,1.0047247371378,1.28789499516694,0.870666293687333,1.1059430639904,1.02453858334292,1.12488583434444,0.491564785417872,1.4260535103289,1.04067883300023,0.770643053443815,1.35460370196163
ENSG00000000460,0.181719367474058,0.156424054785031,0.195141128307605,0.200201646180084,0.140779518489081,0.191341914876623,0.193433542015,0.17690666104798,0.20243357595907,0.208970377111739,0.227023223273783,0.25612691792825,0.172018478153301,0.193115495329886,0.249174241543894,0.217262938838441,0.230260627415412,0.273088419967609,0.23058067637256,0.117839118982306,0.296507682256623,0.355910070802518,0.225237359815897,0.163730957881234,0.166212509772749,0.316439559042948,0.19128804493643,0.140357886104383,0.0908242503851178,0.147824301043894,0.15820325172975,0.158991861657046,0.155100942633598,0.224787591048543,0.110201716003281,0.180617573364872,0.35516547178479,0.17533917549576,0.273551046293847,0.28091556284467,0.143158184555441,0.322351837952359,0.271533278602882,0.345352477151558,0.200799945608037,0.174792599738527,0.280352021908062
ENSG00000000938,1.22318942669924,1.7247301116641,1.58447610445902,1.82793875554363,1.99684323200023,1.49897396362432,3.42060978422297,1.10493750612163,1.5873409991429,1.954179804614,1.48548134251683,1.2342419980735,1.57579621437843,1.08838529852575,1.40165352336864,1.96634216795879,1.84806116655391,0.907531448357102,1.89443530573606,1.63945963904321,1.48329696396764,1.2437139753066,1.1538270532156,1.19867249297406,1.71695715278315,3.44434060639365,1.33651329192433,2.43553658323098,1.00645960229539,1.65967478242659,1.50566548429146,0.828070433076252,1.08098526145087,1.75229497788877,1.62418136644716,1.30861387963689,2.48028649809567,1.33060382595132,2.43653800001828,1.48292891300127,1.44395490438932,3.01368418317826,5.45264851235904,1.22799316868807,1.00470087675767,0.454628953531612,0.467374419942585
ENSG00000000971,0.910300880416035,1.04984488054119,0.906494738597585,1.21579275360511,0.768519180009204,1.57954929465567,1.9613782259862,0.738334299670665,0.818885876979563,0.944061200907561,1.38597050672668,1.47504105230079,1.04634926429884,0.888644691096223,0.766685738125002,1.42637320564486,0.803569111920072,0.639333905800219,5.49843190448562,1.28341774603425,1.96041541973334,2.72651591951543,1.3374344234907,0.814078449074484,1.35486929022913,4.35253390769865,1.11397029139148,1.79022218707502,0.779133185383565,0.662980337141017,1.41358997169165,0.905514048517121,0.502578468809974,1.69745679251464,1.39069812643856,1.90781144660455,1.56458187644003,0.674961595162555,2.13858192168172,1.10451118279811,1.03092067423155,2.16424575759407,4.13060623925511,0.992042313474002,1.16085328151671,1.0244198331637,1.6038149231199
ENSG00000001036,2.0880345039996,1.59547007571391,2.27401057047452,2.25112258608281,1.50381558686779,2.13365960282871,2.26350392860434,2.0729743233806,2.55728258680391,1.48815639124686,1.63981344010538,1.73277700598398,1.59251048679195,1.71476214379975,1.88980328767922,1.49960434476458,1.8603961466514,2.4225007625572,1.69952323340744,3.20565438326238,2.17752805454238,2.61541304492441,2.37223109535762,1.72031241865317,1.30536200641167,2.27120875943459,2.10569032931752,1.82992913161654,1.54604518907702,1.61758225624227,1.98913894984909,1.83532556564247,1.8479669239132,2.33346903725956,1.62527007414617,2.04863820328947,2.95524818418882,1.83211889066355,2.53804329366046,1.92709200006225,1.73745949138574,2.20550823041608,1.98771984639988,2.16166949079641,1.62270699985297,1.61107977943438,1.65591382220454
ENSG00000001084,3.46975580395789,3.47234893012325,4.05259154271663,3.4768951426337,2.80807738522125,3.57016011903942,2.58819670717703,2.71007368015982,5.56645690206345,4.58386633664459,3.80349836016754,5.06145740002682,2.95494163309508,5.11024648809801,3.43903513395356,2.645393851362,4.7583209135507,6.24100877862862,3.77445691049211,3.45078555523024,4.21252700006016,4.52992135324377,3.35446879508497,3.85877885754589,2.76307395521621,3.40934828590362,4.39817576849386,3.35455845336041,2.07191892966401,2.57515348932135,3.9607343972755,3.39193667814023,3.53727465287008,3.32017885722072,3.52155669401596,3.11191896490702,4.2307159388228,4.0684271361576,3.52956485953061,2.58392911452516,3.04956830831602,4.04789141386235,2.02993023600703,4.67557666707771,3.15164587039695,2.24650491519112,4.74692818661611
ENSG00000001167,4.27554393001086,4.34531859554476,4.02060851483771,5.15562301801469,4.07426705927959,5.15148530427651,5.3620845120198,5.17884006165584,6.02217313230322,4.87151567655761,5.53497715211373,5.80373447727171,4.20325249443385,4.97015550784886,3.86238381605744,3.83351362576298,4.92937574565682,6.57176395318091,5.48761438412726,2.6076612764645,5.19961348944713,5.27955196919536,4.51653647104486,4.97587840548692,5.00694876056307,6.15705424800194,5.25911492443624,4.00080744358938,3.0459677212811,3.24034281306869,4.51551664085162,4.91854198445842,4.02097464102961,4.39494835912307,4.09658119189953,4.03116398583173,5.59752020866529,4.38256004981203,5.06626340742549,5.18928304654916,4.13956912033101,4.83633112912896,2.70094031101497,5.35037118947519,4.10085202597683,3.87841040258901,5.92590316158304
